图片地址,作品名字,作品类型,人气数,点赞数,评论数,作者图片,作者
https://img.zhisheji.com/20200412235619FkHPO.jpg?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,插画商业思维 对设计的推动-卡昂卡昂,设计师专访,6642,114,32,https://www.zhisheji.com/uc_server/data/avatar/000/02/40/22_avatar_small.jpg,设计师专访
https://img.zhisheji.com/20200420003800G3Hgd.jpg?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,广州恒大“奶奶风”巨土宣传片，看完我裂开了！,头条,4239,54,30,https://www.zhisheji.com/uc_server/data/avatar/000/09/50/09_avatar_small.jpg,头条君
https://img.zhisheji.com/llF4RffFzFCtpZZ5zpYBmw-T1R4I?imageMogr2/thumbnail/600x/crop/!547x342a27a0,智能电动牙刷详情页,详情页-家居家纺,2418,66,17,https://www.zhisheji.com/uc_server/data/avatar/000/15/31/45_avatar_small.jpg,吕子柚
https://img.zhisheji.com/lhHpWqKqDGfRChqDUd45WpYsqSDn?imageMogr2/thumbnail/600x/crop/!600x375a0a8,彼丽产品展示图,平面-海报,2493,43,30,https://www.zhisheji.com/uc_server/data/avatar/000/47/42/39_avatar_small.jpg,浪成仙包装设计
https://img.zhisheji.com/Fs2RHBJlS_mJwBSOzc7gvJgoQWHz?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,HIPPO快充无线充电宝,三维/C4D,1194,20,5,https://www.zhisheji.com/uc_server/data/avatar/000/51/72/23_avatar_small.jpg,小李飞猪
https://img.zhisheji.com/FnseeuLWRf_PsEHho76kcTyW3NNL?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,应力设计——丨塔曼丨傣乡特色菜品牌设计,平面-品牌,1119,28,23,https://www.zhisheji.com/uc_server/data/avatar/000/52/01/66_avatar_small.jpg,Crazy应力设计
https://img.zhisheji.com/FnuSRrxA54lK_jzG3qN-0vIJ3SgK?imageMogr2/thumbnail/600x/crop/!600x375a0a36,全民造车营销活动整理,平面-品牌,1128,30,15,https://www.zhisheji.com/uc_server/data/avatar/000/52/70/15_avatar_small.jpg,一颗皮蛋呀
https://img.zhisheji.com/FvYWUKPft0dX1NdQYy6iX7kbrZAz?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,LAMY凌美x奇舫社｜熊本九州,插画,1500,36,15,https://www.zhisheji.com/uc_server/data/avatar/000/47/83/87_avatar_small.jpg,奇舫社
https://img.zhisheji.com/FpQXVxBPvAtxPCAnTSCgGrL5pDSc?imageMogr2/thumbnail/600x/crop/!549x343a27a327,小米旗下电商品牌-小米有品diib大白产品视频,三维/C4D,4803,75,25,https://www.zhisheji.com/uc_server/data/avatar/000/10/89/84_avatar_small.jpg,Mrousix
https://img.zhisheji.com/Fu6oMeG3_IC-GFFjY-Hy8Ez5skgW?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,三只松鼠7周年视觉+详情页合集x4,详情页-其它,6423,99,35,https://www.zhisheji.com/uc_server/data/avatar/000/00/78/15_avatar_small.jpg,松鼠视觉传媒
https://img.zhisheji.com/Fsr1E6qOrgKiPMVMD4uV32JVcyEz?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,小家电品牌电商视觉合集x5,详情页-家电办公,5910,79,49,https://www.zhisheji.com/uc_server/data/avatar/000/00/78/15_avatar_small.jpg,松鼠视觉传媒
https://img.zhisheji.com/lqwZoNCMb5lc1shwQkT7IG0eMvdz?imageMogr2/thumbnail/600x/crop/!541x338a33a0,TORRAS游光系列三星S20透明壳产品动画,三维/C4D,5157,118,42,https://www.zhisheji.com/uc_server/data/avatar/000/10/89/84_avatar_small.jpg,Mrousix
https://img.zhisheji.com/FhjCphwpk1HpmZFIqa7rg9XbLTon?imageMogr2/thumbnail/600x/crop/!541x338a20a0,新罐头全案策划｜三只松鼠 · 线下体验店,平面-品牌,5320,89,28,https://www.zhisheji.com/uc_server/data/avatar/000/42/37/10_avatar_small.jpg,新罐头工厂
https://img.zhisheji.com/Fs9KilZE57yCnZO5VrysljtMM-e_?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,MASK FAMILY 《口罩家族》IP设计,平面-吉祥物,2941,62,41,https://www.zhisheji.com/uc_server/data/avatar/000/50/13/44_avatar_small.jpg,新视觉NEW VIS
https://img.zhisheji.com/Fu2tDQApdvQDvdg70-FdQhVinHfu?imageMogr2/thumbnail/600x/crop/!600x375a0a9,《霍尊》乱线黑白人物插画,插画,4212,92,50,https://www.zhisheji.com/uc_server/data/avatar/000/51/27/71_avatar_small.jpg,HDT黄小米
https://img.zhisheji.com/FmXSV1b3PtfgipMFucCREIM9jiOx?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,近期的三维合成KV主视觉海报,首页/专题-家居家纺,5701,125,24,https://www.zhisheji.com/uc_server/data/avatar/000/01/49/11_avatar_small.jpg,潜云设计团队
https://img.zhisheji.com/FtEv1I1Sq-dnCtj9nEHZPhIm_4pj?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,小插画,插画,5439,82,59,https://www.zhisheji.com/uc_server/data/avatar/000/53/04/01_avatar_small.jpg,lee「海」
https://img.zhisheji.com/FifByfsTNdBxKY4UaUCJwcEvXHMa?imageMogr2/thumbnail/600x/crop/!493x308a73a0,BHQS#太空系列#场景丨飞船设计,插画,2724,49,26,https://www.zhisheji.com/uc_server/data/avatar/000/47/91/86_avatar_small.jpg,BHQS
https://img.zhisheji.com/FtzGbm56c7ewwEwt1lp4P8rOIOjo?imageMogr2/thumbnail/600x/crop/!509x318a46a21,小天马书法字体设计Vol.2,平面-字体设计,2430,37,18,https://www.zhisheji.com/uc_server/data/avatar/000/51/98/23_avatar_small.jpg,PONY小天马
https://img.zhisheji.com/20200413105632VQIYg.jpg?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,高级商业摄影后期：调色理论及实战应用,教程,5883,112,27,https://www.zhisheji.com/uc_server/data/avatar/000/17/10/18_avatar_small.jpg,黑白君
https://img.zhisheji.com/Fg0aWhKop1R8BzqYKOfSjWW8_GFr?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,20200410一组手写,平面-字体设计,4221,53,28,https://www.zhisheji.com/uc_server/data/avatar/000/40/57/94_avatar_small.jpg,最佳方式
https://img.zhisheji.com/FpnK5zUlcLa9c87s--sybRgPh5iy?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,字母小怪兽—A—E—I—O—W—Z,三维/C4D,5152,113,45,https://www.zhisheji.com/uc_server/images/noavatar_small.gif,哆啦梦梦
https://img.zhisheji.com/FmzpEXbxzfltOjl_C4Oaa86vD_o7?imageMogr2/thumbnail/600x/crop/!373x233a69a1286,作品整理,海报-其它,5744,80,38,https://www.zhisheji.com/uc_server/data/avatar/000/53/29/58_avatar_small.jpg,古北1987
https://img.zhisheji.com/FrdTSarNt28WHHN8lFDRxNjBY6sq?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,美的家电详情视觉分享,详情页-家电办公,6520,78,35,https://www.zhisheji.com/uc_server/data/avatar/000/00/78/15_avatar_small.jpg,松鼠视觉传媒
https://img.zhisheji.com/Fkwaidot6w7rVjT1WUFksDpLAnMk?imageMogr2/thumbnail/600x/crop/!541x338a9a0,Femi’s Tea新加坡高端茶饮Logo/Vi形象设计,平面-品牌,3419,38,24,https://www.zhisheji.com/uc_server/data/avatar/000/34/98/52_avatar_small.jpg,席江龙
