最热图片地址,最热热度,最热歌曲名,最热来自,最热类型,最新图片地址,最新热度,最新歌曲名,最新来自,最新类型
"http://musicugc.qianqian.com/ugcdiy/pic/99e59a51630069969bd07cddbf8b5bcf.jpg@s_1,w_300,h_300",2万,世界太复杂，音乐带给你温暖,by , Tai乐之声,"http://musicugc.qianqian.com/ugcdiy/pic/99e59a51630069969bd07cddbf8b5bcf.jpg@s_1,w_300,h_300",2万,世界太复杂，音乐带给你温暖,by , Tai乐之声
"http://musicugc.qianqian.com/ugcdiy/pic/834504b2f91cf4f88ed94d8f7d2187a5.jpg@s_1,w_300,h_300",6万,【告白进行时】穿过人群拥抱你,by , Tai乐之声,"http://musicugc.qianqian.com/ugcdiy/pic/834504b2f91cf4f88ed94d8f7d2187a5.jpg@s_1,w_300,h_300",6万,【告白进行时】穿过人群拥抱你,by , Tai乐之声
"http://musicugc.qianqian.com/ugcdiy/pic/15ab103de66dff8885c740d8aaf8e3ed.jpg@s_1,w_300,h_300",3149,生活需要来点躁的,by , Tai乐之声,"http://musicugc.qianqian.com/ugcdiy/pic/15ab103de66dff8885c740d8aaf8e3ed.jpg@s_1,w_300,h_300",3149,生活需要来点躁的,by , Tai乐之声
"http://musicugc.qianqian.com/ugcdiy/pic/8691ec2181ebec4abb7a9861601de709.jpg@s_1,w_300,h_300",8万,欢脱节奏，让你一秒重拾快乐,by , Tai乐之声,"http://musicugc.qianqian.com/ugcdiy/pic/8691ec2181ebec4abb7a9861601de709.jpg@s_1,w_300,h_300",8万,欢脱节奏，让你一秒重拾快乐,by , Tai乐之声
"http://musicugc.qianqian.com/ugcdiy/pic/bos_ugcclient_9f803d1da5f8ebad5c0d9ead65d0a1b8.jpg@s_1,w_300,h_300",3万,宝宝安静睡觉觉,by , 顾特猫宁,"http://musicugc.qianqian.com/ugcdiy/pic/bos_ugcclient_9f803d1da5f8ebad5c0d9ead65d0a1b8.jpg@s_1,w_300,h_300",3万,宝宝安静睡觉觉,by , 顾特猫宁
"http://musicugc.qianqian.com/ugcdiy/pic/bos_ugcclient_54ef66d55a7b812c5069bf92c95b8b9f.jpg@s_1,w_300,h_300",3万,深度放空,by , DJ_Rose,"http://musicugc.qianqian.com/ugcdiy/pic/bos_ugcclient_54ef66d55a7b812c5069bf92c95b8b9f.jpg@s_1,w_300,h_300",3万,深度放空,by , DJ_Rose
"http://hiphotos.qianqian.com/ting/pic/item/a50f4bfbfbedab64f8ae8040f636afc378311e56.jpg@s_1,w_300,h_300",9万,金小莎的温暖小情歌,by , 电影怪蜀黍,"http://hiphotos.qianqian.com/ting/pic/item/a50f4bfbfbedab64f8ae8040f636afc378311e56.jpg@s_1,w_300,h_300",9万,金小莎的温暖小情歌,by , 电影怪蜀黍
"http://hiphotos.qianqian.com/ting/pic/item/d31b0ef41bd5ad6e76a076a285cb39dbb6fd3c18.jpg@s_1,w_300,h_300",36万,一入江湖岁月催,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/d31b0ef41bd5ad6e76a076a285cb39dbb6fd3c18.jpg@s_1,w_300,h_300",36万,一入江湖岁月催,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/7aec54e736d12f2eb338e97249c2d562853568e6.jpg@s_1,w_300,h_300",55万,点墨成歌,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/7aec54e736d12f2eb338e97249c2d562853568e6.jpg@s_1,w_300,h_300",55万,点墨成歌,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/960a304e251f95caa34ce4f0ca177f3e6709523e.jpg@s_1,w_300,h_300",65万,无你处，无江湖,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/960a304e251f95caa34ce4f0ca177f3e6709523e.jpg@s_1,w_300,h_300",65万,无你处，无江湖,by , 太合音乐人
