字数,分类,书名,书号,封面图片地址,作者,标签,开始时间,结束时间,描述
282408,东方玄幻,至尊仙体,7993247,https://img-tailor.11222.cn/bcv/big/1150187993247.jpg,黄金天叶,"热血,爽文,轻松,升级文",1587398400,1618934400,寻仙途，少年志。气铸魂，灵锻体。刀山火海又如何，我自破天探太虚。
233986,都市异能,一品赘婿,7989278,https://img-tailor.11222.cn/bcv/big/1158527989278.jpg,沈十三郎,"爽文,腹黑,医术",1587398400,1618934400,三年的忍辱只为了守护深爱的女人，从没有一丝怨言，而今自己的女神面临种种危机，自己也遭遇排斥，为了自己的女神，他选择重新复出，他要碾压所有的不快，让所有看不起自己的人大跌眼镜，跟要让伤害自己女神的那些忍耐付出惨重的代价……
314772,乡村乡土,重生之开挂人生,7993695,https://img-tailor.11222.cn/bcv/big/1195367993695.jpg,舒睿,"重生,轻松,种田文",1587398400,1618934400,建山庄，搞旅游，没事进山打打猎，左牵黄，右擎苍，撵的野猪遍山跑，搞得狗熊嗷嗷叫！看平凡青年杨不凡，如何嬉闹田园，笑傲山林，开始他的开挂人生！
386574,奇幻修真,太古修仙传,7996960,https://img-tailor.11222.cn/bcv/big/1187517996960.jpg,请叫我CD,"热血,励志,坚毅",1587398400,1618934400,从血痕诞生的开始，就受尽世间践踏和凌辱。为了站起来，血痕踏上了修仙的旅途。
351433,谍战特工,长空利剑,7996010,https://img-tailor.11222.cn/bcv/big/1153067996010.jpg,锡伯,"爽文,铁血,励志",1587398400,1618934400,南斯拉夫，佟壹在这里经历了人生的低谷时期，父母死于空袭，这一年8岁的他带着妹妹选择逃离，准备走陆路回国，却不想闯入到了中东地区。在这里武装组织横行，到处充满杀戮，妹妹不幸遇难，连续的打击更加坚定了的他变强的意志，直到后来一名华国老兵解救了他，8年后，再一次行动中与老兵失联，直到后来借助祖国的撤侨行动回国，他要从军，要做尖兵，他要为更多的父母与妹妹保驾护航。故事从这里开始
356502,神秘文化,逃命人,7996803,https://img-tailor.11222.cn/bcv/big/1102397996803.jpg,楼上老张,"无限流,穿越,轻松",1587398400,1618934400,我生而强魄，别人的命被巧取豪夺，我的命荒凉无主。为长生不灭，我守命潜逃。有一天，我被迫结束亡命生涯，他们找到我，对我说：要，我的命！
306802,东方玄幻,都市封天之神,7991303,https://img-tailor.11222.cn/bcv/big/1107057991303.jpg,粽子叔,"争霸,励志,道术,坚毅",1587398400,1618934400,本该是植物人的他，却没想到意外激发体内神奇力量，从而摆脱普通人的命运，一步一步扫四方，平混乱，抱美人，开启人类进化史，直至封神
363027,都市异能,重生之都市狂神,8006723,https://img-tailor.11222.cn/bcv/big/1162198006723.jpg,三千幽魂,"无限流,轻狂,无敌文",1587398400,1618934400,曾经登临星河之巅的十二品大修士李虚阳，渡劫失败、和大能的偷袭陨落在时间长河之下，不灭仙识带着他的记忆穿越时间长河回到少年时期。他逆流过去、快意恩仇、带着高傲、不可一世的态度重临星河，让星河万宇闻之色变。曾经不朽的传承！未来的二十三神脉、昆仑深处那一口水晶棺材、天门洞上哪一副剑图、奥林匹克山巅的伪神、金字塔中的黑洞、东京山上的鬼神！这一切的一切预示什么？预示着什么！预示他李虚阳的命运不再被世间所掌控
254569,东方玄幻,邪世战神,7983422,https://img-tailor.11222.cn/bcv/big/1151967983422.jpg,强子,"爽文,铁血,勇猛",1587398400,1618934400,天的背后依然是天，就像是洋葱，剥开一层还有层。他们自封主宰，妄想左右一切。有人就要对他们说：不！
343957,幻武异侠,一剑惊鸿,7989570,https://img-tailor.11222.cn/bcv/big/1149677989570.jpg,忘川水冷,"爽文,争霸,穿越,暗黑",1587398400,1618934400,他，本该只是一个普通人！可命运，偏偏要和他开一个玩笑，江湖儿女，自古狭义情长，又哪儿经得住别人处心积虑的阴谋算计？“我从哪儿来？”“又要到哪儿去？”凌若云自个都想不清楚！可那又如何？惊鸿一剑翩翩舞，有酒轻歌，我就是我！注定了，是颜色不一样的烟火！
335685,都市生活,林山水回乡记,7984364,https://img-tailor.11222.cn/bcv/big/1105867984364.jpg,尖小土,"热血,励志,种田文",1587398400,1618934400,林山水，一个京城科技大学的尖端学子，在面临继续出国留学，面对康庄大道，还是回乡，面对黄土、艰难与险阻，这两条路上，他选择了回乡，用自己掌握的知识还有自己的血肉身躯，溶入农村的汇流之中······
272881,奇幻修真,大衍星君,7991061,https://img-tailor.11222.cn/bcv/big/1184227991061.jpg,君行浅,"爽文,无限流,穿越,升级文",1587398400,1618934400,唐染尘穿越到一个名为三垣宗的修真世界，第一时间就被丢入了无限轮回的世界中进行向死而生的大冒险，虽然只是最低等的黄灵根，但是在得到太极玉钱的那一刻，唐染尘的未来就改变了，他获得了问鼎龙族至尊，成为大衍星君的资格。
352611,远古神话,神落,7996944,https://img-tailor.11222.cn/bcv/big/1119467996944.jpg,金羊毛,"热血,争霸,强者回归",1587398400,1618934400,是旅途，也是成长。少年自东方来，走遍这片蛮荒的源力大陆，在这里，他该如果斩破荆棘开辟道路，他该如何坚守本心一路前行？和平的外表之下布满了陷阱，善良的面孔之下充满了谎言，古老的秘密被一层层剥开，感情、热血，寒冷，背叛，杀戮，少年该如何选择，在这里，你会成为一个什么样的人？欢迎来到神落的世界。
256880,两宋元明,参天道,7992493,https://img-tailor.11222.cn/bcv/big/1100987992493.jpg,王已安,"丹药,机智,坚毅,杀伐果断",1587398400,1618934400,如果有人洞悉未来，是否会试图改变一些将要发生的事？如果真的去干预了，那所谓的“定数”到底又会如何？一个朝代的兴衰，也许还可以出现另外一种假设，既然一切皆是无常，就只能看每个亲历者的参悟了。
294438,极道江湖,我是最强奶爸,7988068,https://img-tailor.11222.cn/bcv/big/1166747988068.jpg,幽幽静白书,"异能,轻松,杀伐果断",1587398400,1618934400,一个没有结婚的男人，结果捡到了来历不凡的婴儿，为了她开心的成长，不得不再重新走曾经的路。
254969,东方玄幻,天道神皇,7992482,https://img-tailor.11222.cn/bcv/big/1103777992482.jpg,银河游侠,"热血,爽文,争霸,轻松",1587398400,1618934400,"皇者,人中之龙也。内修龙气、外炼龙体养龙魂、心蕴龙威。诛灭世间邪魔获亿万功德,照拂天下生灵得无上愿力。口含天宪、言出法随,敕封文武百官、号令苍生万民,故为天下至尊!"
279432,都市异能,都市神兵,7990494,https://img-tailor.11222.cn/bcv/big/1174717990494.jpg,仙源,"热血,爽文,家族",1587398400,1618934400,神秘高手潜藏都市，为完成师父交代的任务被迫与少女同居，两人之间究竟会擦出什么火花呢？废物还是王者？不，先不说这个，最主要的是先征服妹子...
243825,东方玄幻,至尊剑神,8005647,https://img-tailor.11222.cn/bcv/big/1109078005647.jpg,叶飞柳,"无限流,穿越,修炼",1587398400,1618934400,万剑大陆，宗门林立，剑道是永恒的主旨，站在绝巅者，可笑苍天，瞰大地。一剑破苍穹、一剑破虚妄。一代强人陆玄，重生万剑大陆，得上古剑神逆天传承，修不动明王身，从此立下誓言、待我修剑十三载，敢让剑神下黄泉。
259210,侦探推理,原罪之消失的时间,7993623,https://img-tailor.11222.cn/bcv/big/1147717993623.jpg,坏蛋不坏,"爽文,惊奇,坚毅",1587398400,1618934400,1996年。一列开往雪国的列车上。张教授紧紧抱着怀中的公文包，包里面装着七个人的详细资料。张教授临行前仍不忘老师的叮嘱：“要把他们聚集起来，他们将来是国之栋梁。”2008年。一场大雪吞没了昆仑山，由七个人组成的登山队与外界彻底失联，举国震惊，消息被全面封锁。………
260344,东方玄幻,万古邪尊,8003791,https://img-tailor.11222.cn/bcv/big/1176998003791.jpg,飘逸的海带,"丹药,升级文,无敌文",1587398400,1618934400,少年古凌，因一个神秘交易，逆天改命，我自逍遥，从此踏上非凡之路。　　天山争锋，中原异动，日月明城，笑看风云……　　少年手掌日月，脚踏阴阳，凌云千秋度，仗义闯天涯。　　正如何，邪又怎样？我若成魔，天下无佛，冥冥之中，千年夙愿，只待有朝一日，邪变天下。
282408,东方玄幻,至尊仙体,7993247,https://img-tailor.11222.cn/bcv/big/1150187993247.jpg,黄金天叶,"热血,爽文,轻松,升级文",1587398400,1618934400,寻仙途，少年志。气铸魂，灵锻体。刀山火海又如何，我自破天探太虚。
233986,都市异能,一品赘婿,7989278,https://img-tailor.11222.cn/bcv/big/1158527989278.jpg,沈十三郎,"爽文,腹黑,医术",1587398400,1618934400,三年的忍辱只为了守护深爱的女人，从没有一丝怨言，而今自己的女神面临种种危机，自己也遭遇排斥，为了自己的女神，他选择重新复出，他要碾压所有的不快，让所有看不起自己的人大跌眼镜，跟要让伤害自己女神的那些忍耐付出惨重的代价……
314772,乡村乡土,重生之开挂人生,7993695,https://img-tailor.11222.cn/bcv/big/1195367993695.jpg,舒睿,"重生,轻松,种田文",1587398400,1618934400,建山庄，搞旅游，没事进山打打猎，左牵黄，右擎苍，撵的野猪遍山跑，搞得狗熊嗷嗷叫！看平凡青年杨不凡，如何嬉闹田园，笑傲山林，开始他的开挂人生！
386574,奇幻修真,太古修仙传,7996960,https://img-tailor.11222.cn/bcv/big/1187517996960.jpg,请叫我CD,"热血,励志,坚毅",1587398400,1618934400,从血痕诞生的开始，就受尽世间践踏和凌辱。为了站起来，血痕踏上了修仙的旅途。
351433,谍战特工,长空利剑,7996010,https://img-tailor.11222.cn/bcv/big/1153067996010.jpg,锡伯,"爽文,铁血,励志",1587398400,1618934400,南斯拉夫，佟壹在这里经历了人生的低谷时期，父母死于空袭，这一年8岁的他带着妹妹选择逃离，准备走陆路回国，却不想闯入到了中东地区。在这里武装组织横行，到处充满杀戮，妹妹不幸遇难，连续的打击更加坚定了的他变强的意志，直到后来一名华国老兵解救了他，8年后，再一次行动中与老兵失联，直到后来借助祖国的撤侨行动回国，他要从军，要做尖兵，他要为更多的父母与妹妹保驾护航。故事从这里开始
356502,神秘文化,逃命人,7996803,https://img-tailor.11222.cn/bcv/big/1102397996803.jpg,楼上老张,"无限流,穿越,轻松",1587398400,1618934400,我生而强魄，别人的命被巧取豪夺，我的命荒凉无主。为长生不灭，我守命潜逃。有一天，我被迫结束亡命生涯，他们找到我，对我说：要，我的命！
306802,东方玄幻,都市封天之神,7991303,https://img-tailor.11222.cn/bcv/big/1107057991303.jpg,粽子叔,"争霸,励志,道术,坚毅",1587398400,1618934400,本该是植物人的他，却没想到意外激发体内神奇力量，从而摆脱普通人的命运，一步一步扫四方，平混乱，抱美人，开启人类进化史，直至封神
363027,都市异能,重生之都市狂神,8006723,https://img-tailor.11222.cn/bcv/big/1162198006723.jpg,三千幽魂,"无限流,轻狂,无敌文",1587398400,1618934400,曾经登临星河之巅的十二品大修士李虚阳，渡劫失败、和大能的偷袭陨落在时间长河之下，不灭仙识带着他的记忆穿越时间长河回到少年时期。他逆流过去、快意恩仇、带着高傲、不可一世的态度重临星河，让星河万宇闻之色变。曾经不朽的传承！未来的二十三神脉、昆仑深处那一口水晶棺材、天门洞上哪一副剑图、奥林匹克山巅的伪神、金字塔中的黑洞、东京山上的鬼神！这一切的一切预示什么？预示着什么！预示他李虚阳的命运不再被世间所掌控
254569,东方玄幻,邪世战神,7983422,https://img-tailor.11222.cn/bcv/big/1151967983422.jpg,强子,"爽文,铁血,勇猛",1587398400,1618934400,天的背后依然是天，就像是洋葱，剥开一层还有层。他们自封主宰，妄想左右一切。有人就要对他们说：不！
343957,幻武异侠,一剑惊鸿,7989570,https://img-tailor.11222.cn/bcv/big/1149677989570.jpg,忘川水冷,"爽文,争霸,穿越,暗黑",1587398400,1618934400,他，本该只是一个普通人！可命运，偏偏要和他开一个玩笑，江湖儿女，自古狭义情长，又哪儿经得住别人处心积虑的阴谋算计？“我从哪儿来？”“又要到哪儿去？”凌若云自个都想不清楚！可那又如何？惊鸿一剑翩翩舞，有酒轻歌，我就是我！注定了，是颜色不一样的烟火！
335685,都市生活,林山水回乡记,7984364,https://img-tailor.11222.cn/bcv/big/1105867984364.jpg,尖小土,"热血,励志,种田文",1587398400,1618934400,林山水，一个京城科技大学的尖端学子，在面临继续出国留学，面对康庄大道，还是回乡，面对黄土、艰难与险阻，这两条路上，他选择了回乡，用自己掌握的知识还有自己的血肉身躯，溶入农村的汇流之中······
272881,奇幻修真,大衍星君,7991061,https://img-tailor.11222.cn/bcv/big/1184227991061.jpg,君行浅,"爽文,无限流,穿越,升级文",1587398400,1618934400,唐染尘穿越到一个名为三垣宗的修真世界，第一时间就被丢入了无限轮回的世界中进行向死而生的大冒险，虽然只是最低等的黄灵根，但是在得到太极玉钱的那一刻，唐染尘的未来就改变了，他获得了问鼎龙族至尊，成为大衍星君的资格。
352611,远古神话,神落,7996944,https://img-tailor.11222.cn/bcv/big/1119467996944.jpg,金羊毛,"热血,争霸,强者回归",1587398400,1618934400,是旅途，也是成长。少年自东方来，走遍这片蛮荒的源力大陆，在这里，他该如果斩破荆棘开辟道路，他该如何坚守本心一路前行？和平的外表之下布满了陷阱，善良的面孔之下充满了谎言，古老的秘密被一层层剥开，感情、热血，寒冷，背叛，杀戮，少年该如何选择，在这里，你会成为一个什么样的人？欢迎来到神落的世界。
256880,两宋元明,参天道,7992493,https://img-tailor.11222.cn/bcv/big/1100987992493.jpg,王已安,"丹药,机智,坚毅,杀伐果断",1587398400,1618934400,如果有人洞悉未来，是否会试图改变一些将要发生的事？如果真的去干预了，那所谓的“定数”到底又会如何？一个朝代的兴衰，也许还可以出现另外一种假设，既然一切皆是无常，就只能看每个亲历者的参悟了。
294438,极道江湖,我是最强奶爸,7988068,https://img-tailor.11222.cn/bcv/big/1166747988068.jpg,幽幽静白书,"异能,轻松,杀伐果断",1587398400,1618934400,一个没有结婚的男人，结果捡到了来历不凡的婴儿，为了她开心的成长，不得不再重新走曾经的路。
254969,东方玄幻,天道神皇,7992482,https://img-tailor.11222.cn/bcv/big/1103777992482.jpg,银河游侠,"热血,爽文,争霸,轻松",1587398400,1618934400,"皇者,人中之龙也。内修龙气、外炼龙体养龙魂、心蕴龙威。诛灭世间邪魔获亿万功德,照拂天下生灵得无上愿力。口含天宪、言出法随,敕封文武百官、号令苍生万民,故为天下至尊!"
279432,都市异能,都市神兵,7990494,https://img-tailor.11222.cn/bcv/big/1174717990494.jpg,仙源,"热血,爽文,家族",1587398400,1618934400,神秘高手潜藏都市，为完成师父交代的任务被迫与少女同居，两人之间究竟会擦出什么火花呢？废物还是王者？不，先不说这个，最主要的是先征服妹子...
